Date,City,County,Users without power
2020-03-24,BALVANERA,CAPITAL FEDERAL,24
2020-03-24,BENAVIDEZ,TIGRE,27
2020-03-24,BERAZATEGUI,BERAZATEGUI,38
2020-03-24,BILLINGHURST,GRAL SAN MARTIN,28
2020-03-24,BURZACO,ALMIRANTE BROWN,71
2020-03-24,C JARDIN EL LIBERTADOR,GRAL SAN MARTIN,24
2020-03-24,CABALLITO,CAPITAL FEDERAL,2
2020-03-24,CAPITAL,CAPITAL FEDERAL,33
2020-03-24,CARLOS SPEGAZZINNI,EZEIZA,18
2020-03-24,CASEROS,3 DE FEBRERO,23
2020-03-24,CLAYPOLE,ALMIRANTE BROWN,15
2020-03-24,DEL VISO,PILAR,2
2020-03-24,ESCOBAR,ESCOBAR,10
2020-03-24,FLORENCIO VARELA,FLORENCIO VARELA,8
2020-03-24,FLORESTA,CAPITAL FEDERAL,25
2020-03-24,GLEW,ALMIRANTE BROWN,85
2020-03-24,GRAL JOSE DE SUCRE,GRAL SAN MARTIN,52
2020-03-24,GRAL RODRIGUEZ,GRAL RODRIGUEZ,28
2020-03-24,GRAND BOURG,MALVINAS ARGENTINAS,30
2020-03-24,GUERNICA,PTE PERON,15
2020-03-24,GUTIERREZ,BERAZATEGUI,5
2020-03-24,HAEDO,MORON,52
2020-03-24,INGENIERO BUDGE,LOMAS DE ZAMORA,22
2020-03-24,ISIDRO CASANOVA,LA MATANZA,15
2020-03-24,LANUS,LANUS,512
2020-03-24,LIBERTAD,MERLO,11
2020-03-24,LOMAS DEL MIRADOR,LA MATANZA,4
2020-03-24,LONGCHAMPS,ALMIRANTE BROWN,42
2020-03-24,MANUEL ALBERTI,PILAR,19
2020-03-24,MARCOS PAZ,MARCOS PAZ,9
2020-03-24,MARIANO ACOSTA,MERLO,5
2020-03-24,MARMOL,ALMIRANTE BROWN,76
2020-03-24,MATADEROS,CAPITAL FEDERAL,125
2020-03-24,MERLO,MERLO,103
2020-03-24,MONTE GRANDE,ESTEBAN ECHEVERRIA,40
2020-03-24,MORENO,MORENO,19
2020-03-24,MORON,MORON,14
2020-03-24,PALERMO,CAPITAL FEDERAL,4
2020-03-24,PONTEVEDRA,MERLO,25
